 ! Fichier pour convertir les lettres grecques de Beta-Code en Utf-8 et réciproquement				
 ! Dans le sens Beta-Code --> utf-8, l'ordre a son importance :				
 ! - les lettres les plus décorées passent devant  !				
 ! Pour le sens utf-8 --> betacode, j'ai gardé les alpha […] with tonos,				
 ! qu'il ne faut pas utiliser (remplacés par alpha […] with oxia).				
 !				
 ! Philippe, juin 2014.				
 !				
w(\|	U+1FA3	ᾣ	225190163	GREEK SMALL LETTER OMEGA WITH DASIA AND VARIA AND YPOGEGRAMMENI
w)/|	U+1FA4	ᾤ	225190164	GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA AND YPOGEGRAMMENI
w(/|	U+1FA5	ᾥ	225190165	GREEK SMALL LETTER OMEGA WITH DASIA AND OXIA AND YPOGEGRAMMENI
w)=|	U+1FA6	ᾦ	225190166	GREEK SMALL LETTER OMEGA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
w(=|	U+1FA7	ᾧ	225190167	GREEK SMALL LETTER OMEGA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
*)w|	U+1FA8	ᾨ	225190168	GREEK CAPITAL LETTER OMEGA WITH PSILI AND PROSGEGRAMMENI
*(w|	U+1FA9	ᾩ	225190169	GREEK CAPITAL LETTER OMEGA WITH DASIA AND PROSGEGRAMMENI
 !				
 ! 3 caractères				
 !				
a)\	U+1F02	ἂ	225188130	GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA
a(\	U+1F03	ἃ	225188131	GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA
a)/	U+1F04	ἄ	225188132	GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA
a(/	U+1F05	ἅ	225188133	GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA
a)=	U+1F06	ἆ	225188134	GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI
a(=	U+1F07	ἇ	225188135	GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI
*)a	U+1F08	Ἀ	225188136	GREEK CAPITAL LETTER ALPHA WITH PSILI
*(a	U+1F09	Ἁ	225188137	GREEK CAPITAL LETTER ALPHA WITH DASIA
e)\	U+1F12	ἒ	225188146	GREEK SMALL LETTER EPSILON WITH PSILI AND VARIA
e(\	U+1F13	ἓ	225188147	GREEK SMALL LETTER EPSILON WITH DASIA AND VARIA
e)/	U+1F14	ἔ	225188148	GREEK SMALL LETTER EPSILON WITH PSILI AND OXIA
e(/	U+1F15	ἕ	225188149	GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
*)e	U+1F18	Ἐ	225188152	GREEK CAPITAL LETTER EPSILON WITH PSILI
